Title,prices,Rating
"Victrix Pro BFG Wireless Gaming Controller for Playstation 5 / PS5 - Wired or Wireless Power, Mappable Back Buttons, Customizable Triggers/Paddles",$179.99,
"HORI Racing Wheel Apex for Playstation 5, PlayStation 4 and PC - Officially Licensed by Sony - Compatible with Gran Turismo 7",$119.99,
DualSense Edge Wireless Controller,$199.00,
,,
PDP AIRLITE PRO Wired Playstation 5 Headset with Noise Cancelling Boom Microphone: PS5/PS4/PS3 Console/PC (Void Black),$39.88,
PlayStation 5 Pulse 3D Wireless Headset,$98.99,
PlayStation 5 Console CFI-1102A,Page 1 of 1,
Star Wars Jedi: Survivor Deluxe - Steam PC [Online Game Code],$89.99,
$50 PlayStation Store Gift Card [Digital Code],$50.00,
WB Mortal Kombat 1 - PlayStation5,$69.99,
$100 PlayStation Store Gift Card [Digital Code],$100.00,
The Caligula Effect 2 - PlayStation 5,$49.99,
Xbox Series X – Forza Horizon 5 Bundle,$587.65,
Grand Theft Auto V Xbox One,$5.00,
Saga of Sins - PlayStation 5,$39.99,
Human: Fall Flat - Dream Collection - PlayStation 5,$29.99,
PlayStation DualSense Wireless Controller - Starlight Blue - PlayStation 5,$74.99,
"Turtle Beach Stealth Pro Multiplatform Wireless Noise-Cancelling Gaming Headset for Xbox Series X|S, Xbox One, PS5, PS4, PC, Mac, Switch, & Mobile – 50mm Speakers, Bluetooth, Dual Batteries – Black",$329.99,
WB Mortal Kombat 1 - Nintendo Switch,$69.99,
Star Wars Jedi: Survivor Deluxe - PlayStation 5,$89.99,
Star Wars Jedi: Survivor Deluxe - Origin PC [Online Game Code],$89.99,
Immortals of Aveum - PlayStation 5,$69.99,
,,
Grand Theft Auto V Playstation 4,$15.57,
Lords of the Fallen Deluxe Edition - PlayStation 5,$79.99,
Weird West: Definitive Edition Deluxe - PlayStation 5,$59.99,
,,
Mortal Kombat 1 - Xbox Series X,$69.99,
Company of Heroes 3: Console Launch Edition - PlayStation 5,$59.99,
PlayStation PS5 Console – God of War Ragnarök Bundle,$559.99,
,,
PlayStation 5 Digital Edition,Page 1 of 1,
Grand Theft Auto V - PlayStation 5,$19.97,
"WD_BLACK 2TB SN850 NVMe SSD for PS5 Consoles Solid State Drive with Heatsink - Gen4 PCIe, M.2 2280, Up to 7,000 MB/s - WDBBKW0020BBK-WRSN",$179.99,
,,
"Razer Wolverine V2 Pro Wireless Gaming Controller for PlayStation 5 / PS5, PC: Mecha-Tactile Action Buttons - 8-Way Microswitch D-Pad - HyperTrigger - 6 Remappable Buttons - Chroma RGB   - Black",$249.99,
"PDP AIRLITE Headset with Mic for PS5, PS4, PC - Frost White",$24.99,
"Logitech G29 Driving Force Racing Wheel and Floor Pedals, Real Force Feedback, Stainless Steel Paddle Shifters, Leather Steering Wheel Cover for PS5, PS4, PC, Mac - Black",Page 1 of 1,
"Corsair MP600 PRO LPX 2TB M.2 NVMe PCIe x4 Gen4 SSD - Optimized for PS5 (Up to 7,100MB/sec Sequential Read & 6,800MB/sec Sequential Write Speeds, High-Speed Interface, Compact Form Factor) Black",$129.99,
Cult of the Lamb Standard Edition – PlayStation 5,$32.36,
